ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
3,Peru,"DEN 1,2,3,4",2014,Out,29,0.423457974,0.184,7694,23,29,40.68,30769,53,12516
3,Peru,"DEN 1,2,3,4",2014,Out,31,0.416763140,0.178,7962,23,31,42.11,30769,54,12957
3,Peru,"DEN 1,2,3,4",2014,Out,33,0.421654996,0.173,8284,23,33,43.16,30769,56,13281
3,Peru,"DEN 1,2,3,4",2014,Out,34,0.431886392,0.168,8409,23,34,44.40,30769,59,13661
3,Peru,"DEN 1,2,3,4",2014,Out,36,0.451171591,0.182,8847,25,36,44.66,30769,62,13742
3,Peru,"DEN 1,2,3,4",2014,Out,38,0.460122699,0.174,9087,25,38,46.62,30769,66,14344
3,Peru,"DEN 1,2,3,4",2014,Out,41,0.472388556,0.166,9497,25,41,48.85,30769,71,15030
3,Peru,"DEN 1,2,3,4",2014,Out,43,0.480738414,0.160,9694,25,43,50.70,30769,75,15601
3,Peru,"DEN 1,2,3,4",2014,Out,45,0.485019646,0.172,9824,28,45,52.94,30769,79,16288
3,Peru,"DEN 1,2,3,4",2014,Out,48,0.489944739,0.165,10429,29,48,57.05,30769,86,17553
3,Peru,"DEN 1,2,3,4",2014,Out,50,0.492018369,0.164,11320,30,50,59.45,30769,90,18292
3,Peru,"DEN 1,2,3,4",2014,Out,52,0.503898584,0.164,11548,31,52,61.27,30769,95,18853
