name,Year,EW,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nairobi,2020,51,12/16/2020,26.1,15.9,20.8,26.1,15.9,20.8,12.5,60.99,0,,0,,,,,22.3,117.9,,25.7,10.2,,,,,2020-12-16T06:22:41,2020-12-16T18:34:22,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,51,12/17/2020,25.1,17.7,20.7,25.1,17.7,20.7,13.9,66.88,0,,0,,,,46.4,34.5,70.1,,73.9,10.7,,,,,2020-12-17T06:23:10,2020-12-17T18:34:52,0.05,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,51,12/18/2020,25,15.9,20.4,25,15.9,20.4,12.7,63.37,0,,0,,,,,28.7,66.5,,58.4,10.2,,,,,2020-12-18T06:23:39,2020-12-18T18:35:22,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,51,12/19/2020,26.1,17,20.9,26.1,17,20.9,12.9,62.71,0,,0,,,,,32.4,58,,62.8,10.3,,,,,2020-12-19T06:24:08,2020-12-19T18:35:51,0.13,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,52,12/20/2020,26.1,15.9,20.6,26.1,15.9,20.6,13.9,68.25,0,,0,,,,,42.5,68.9,,59.3,10.3,,,,,2020-12-20T06:24:38,2020-12-20T18:36:21,0.18,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,52,12/21/2020,26.1,15.9,20.8,26.1,15.9,20.8,13.8,67.19,0,,0,,,,,31.4,62.8,,57.9,10.3,,,,,2020-12-21T06:25:08,2020-12-21T18:36:51,0.23,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,52,12/22/2020,27,17.9,21.1,26.6,17.9,21.1,14,67.77,0,,0,,,,,36,72.7,,65.9,10.3,,,,,2020-12-22T06:25:37,2020-12-22T18:37:20,0.28,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,52,12/23/2020,27.1,14.8,20.9,26.8,14.8,20.9,13.3,64.99,0,,0,,,,,28.9,121.6,,49.6,10.2,,,,,2020-12-23T06:26:07,2020-12-23T18:37:50,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,52,12/24/2020,27.1,17.9,21.5,26.8,17.9,21.4,14.1,66.33,0,,0,,,,,26.1,60.3,,66.3,10.4,,,,,2020-12-24T06:26:37,2020-12-24T18:38:20,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,52,12/25/2020,28.1,17,22,27.3,17,22,13.6,62.02,0,,0,,,,,28.7,84,,44.7,10.2,,,,,2020-12-25T06:27:07,2020-12-25T18:38:49,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,52,12/26/2020,27,16.9,21.4,26.8,16.9,21.4,13.3,62.7,0,,0,,,,,29.3,83.1,,47.3,10.4,,,,,2020-12-26T06:27:37,2020-12-26T18:39:18,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,53,12/27/2020,26,15.8,20.2,26,15.8,20.2,12.1,61.66,0,,0,,,,,32.8,93.1,,37.7,10.7,,,,,2020-12-27T06:28:06,2020-12-27T18:39:47,0.47,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,53,12/28/2020,26.2,13,20.1,26.2,13,20.1,10.1,55.09,0,,0,,,,40.7,28.5,100,,27.3,10.6,,,,,2020-12-28T06:28:36,2020-12-28T18:40:16,0.49,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,53,12/29/2020,26.1,12.2,20.2,26.1,12.2,20.2,11.7,60.14,0,,0,,,,,35.6,99.8,,31.5,10.2,,,,,2020-12-29T06:29:06,2020-12-29T18:40:45,0.5,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,53,12/30/2020,27,15.1,21.4,26.9,15.1,21.4,13.1,60.83,0,,0,,,,,35.6,69.4,,54.3,10.2,,,,,2020-12-30T06:29:35,2020-12-30T18:41:13,0.5,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2020,53,12/31/2020,25,16,19.1,25,16,19.1,15.2,79.59,0,,0,,,,,28.5,79,,87.1,10.1,,,,,2020-12-31T06:30:04,2020-12-31T18:41:41,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2021,1,1/1/2021,23,14,18.2,23,14,18.2,14.6,81.27,0,,0,,,,,32,69.5,,88.8,10.2,,,,,2021-01-01T06:30:33,2021-01-01T18:42:09,0.53,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2021,1,1/2/2021,25,15.9,19.8,25,15.9,19.8,13.4,70.21,0,,0,,,,,29.1,92.8,,66.6,10.2,,,,,2021-01-02T06:31:02,2021-01-02T18:42:36,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2021,2,1/3/2021,26.2,16,20.6,26.2,16,20.6,13,64.95,0,,0,,,,,26.3,68.2,,48,10.3,,,,,2021-01-03T06:31:30,2021-01-03T18:43:03,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2021,2,1/4/2021,26.1,15.1,20.3,26.1,15.1,20.3,12.4,64.1,0,,0,,,,,29.3,60.1,,46.9,10.3,,,,,2021-01-04T06:31:58,2021-01-04T18:43:29,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2021,2,1/5/2021,26.1,16.8,20.3,26.1,16.8,20.3,13.3,66.52,0,,0,,,,,29.5,68.1,,65.5,10.3,,,,,2021-01-05T06:32:26,2021-01-05T18:43:55,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
