ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
3,Colombia,"DEN 1,2,3",2019,Out,27,1.056876873,0.040,15941,25,27,126.82,49465,663,62732
3,Colombia,"DEN 1,2,3",2019,Out,41,1.071511763,0.067,28390,66,41,199.61,49465,1058,98739
3,Colombia,"DEN 1,2,3",2019,Out,34,1.082693947,0.055,21597,45,34,166.00,49465,889,82110
3,Colombia,"DEN 1,2,3",2019,Out,36,1.100098653,0.063,24131,55,36,176.23,49465,959,87174
3,Colombia,"DEN 1,2,3",2019,Out,37,1.099341732,0.065,24395,58,37,181.50,49465,987,89781
3,Colombia,"DEN 1,2,3",2019,Out,39,1.070389761,0.063,26446,60,39,191.14,49465,1012,94545
3,Colombia,"DEN 1,2,3",2019,Out,44,1.077630909,0.070,30668,74,44,214.43,49465,1143,106066
3,Colombia,"DEN 1,2,3",2019,Out,46,1.076488771,0.069,32225,77,46,226.30,49465,1205,111938
3,Colombia,"DEN 1,2,3",2019,Out,45,1.077552521,0.070,31394,76,45,219.88,49465,1172,108765
3,Colombia,"DEN 1,2,3",2019,Out,43,1.076998661,0.071,30002,74,43,209.86,49465,1118,103807
3,Colombia,  ,2022,Out,2,2.483854943,0.000,379,0,2,3.93,51266,50,2013
3,Colombia,  ,2022,Out,7,2.384823848,0.014,3183,1,7,14.40,51266,176,7380
3,Colombia,  ,2022,Out,9,2.313263431,0.011,4420,1,9,18.05,51266,214,9251
3,Colombia,"DEN 1,2,3,4",2021,Out,46,1.801737133,0.086,21974,36,46,81.52,51266,753,41793
3,Colombia,"DEN 1,2,3",2021,Out,8,1.786327722,0.000,1027,0,8,11.36,51266,104,5822
3,Colombia,"DEN 1,2,3",2021,Out,18,1.517298875,0.058,2690,7,18,23.40,51266,182,11995
3,Colombia,"DEN 1,2,3",2021,Out,27,1.476853167,0.108,7711,19,27,34.34,51266,260,17605
3,Colombia,"DEN 1,2,3,4",2021,Out,37,1.749567311,0.102,13049,27,37,51.84,51266,465,26578
3,Colombia,"DEN 1,2,3",2021,Out,25,1.441397423,0.049,6792,8,25,31.94,51266,236,16373
3,Colombia,"DEN 1,2,3,4",2021,Out,44,1.804977037,0.096,19724,36,44,73.05,51266,676,37452
3,Colombia,"DEN 1,2,3",2021,Out,6,2.039825158,0.000,627,0,6,8.03,51266,84,4118
3,Colombia,"DEN 1,2,3",2021,Out,13,1.526800217,0.065,1996,6,13,18.01,51266,141,9235
3,Colombia,"DEN 1,2,3",2021,Out,32,1.681508147,0.104,9999,22,32,41.18,51266,355,21112
3,Colombia,"DEN 1,2,3,4",2021,Out,51,1.818777966,0.073,28078,38,51,101.14,51266,943,51848
3,Colombia,  ,2021,Out,1,1.438848921,0.000,,0,1,0.54,51266,4,278
3,Colombia,"DEN 1,2,3",2021,Out,20,1.434364674,0.053,3101,7,20,25.97,51266,191,13316
3,Colombia,"DEN 1,2,3,4",2021,Out,39,1.790913400,0.098,14628,29,39,57.62,51266,529,29538
3,Colombia,"DEN 1,2,3,4",2021,Out,35,1.706031298,0.112,11705,27,35,46.99,51266,411,24091
3,Colombia,"DEN 1,2,3,4",2021,Out,42,1.783746157,0.087,17458,30,42,67.25,51266,615,34478
3,Colombia,  ,2021,Out,4,1.636726547,0.000,,0,4,4.89,51266,41,2505
3,Colombia,"DEN 1,2,3",2021,Out,23,1.452062061,0.053,6252,8,23,29.42,51266,219,15082
3,Colombia,"DEN 1,2,3",2021,Out,30,1.581892167,0.102,9136,20,30,38.35,51266,311,19660
3,Colombia,"DEN 1,2,3,4",2021,Out,49,1.777631471,0.076,25572,37,49,94.81,51266,864,48604
3,Colombia,"DEN 1,2,3",2021,Out,11,1.725658143,0.063,1664,5,11,15.49,51266,137,7939
3,Colombia,"DEN 1,2,3",2021,Out,21,1.446680513,0.057,5696,8,21,27.24,51266,202,13963
3,Colombia,"DEN 1,2,3,4",2021,Out,40,1.820052737,0.093,15544,29,40,60.66,51266,566,31098
3,Colombia,  ,2021,Out,2,1.375245580,0.000,,0,2,1.99,51266,14,1018
3,Colombia,"DEN 1,2,3",2021,Out,9,1.749581622,0.046,1223,3,9,12.82,51266,115,6573
3,Colombia,"DEN 1,2,3",2021,Out,28,1.489431607,0.104,8182,19,28,35.62,51266,272,18262
3,Colombia,"DEN 1,2,3,4",2021,Out,47,1.818472574,0.082,22934,36,47,85.38,51266,796,43773
3,Colombia,"DEN 1,2,3",2021,Out,16,1.509777171,0.055,2434,6,16,21.45,51266,166,10995
3,Colombia,"DEN 1,2,3",2021,Out,12,1.563218391,0.057,1842,5,12,16.97,51266,136,8700
3,Colombia,"DEN 1,2,3",2021,Out,15,1.483537519,0.057,2325,6,15,20.38,51266,155,10448
3,Colombia,"DEN 1,2,3",2021,Out,22,1.459050241,0.055,5990,8,22,28.34,51266,212,14530
3,Colombia,"DEN 1,2,3",2021,Out,31,1.633456335,0.098,9537,20,31,39.65,51266,332,20325
3,Colombia,"DEN 1,2,3,4",2021,Out,38,1.749395534,0.096,13049,27,38,54.86,51266,492,28124
3,Colombia,"DEN 1,2,3,4",2021,Out,41,1.810840573,0.092,16321,30,41,63.77,51266,592,32692
3,Colombia,  ,2021,Out,3,1.612903226,0.000,,0,3,3.51,51266,29,1798
3,Colombia,"DEN 1,2,3",2021,Out,19,1.471282455,0.055,2939,7,19,24.79,51266,187,12710
3,Colombia,"DEN 1,2,3",2021,Out,26,1.447229086,0.047,7311,8,26,33.16,51266,246,16998
3,Colombia,"DEN 1,2,3",2021,Out,29,1.520572451,0.105,8662,20,29,37.07,51266,289,19006
3,Colombia,"DEN 1,2,3,4",2021,Out,45,1.796543937,0.091,20700,36,45,76.87,51266,708,39409
3,Colombia,"DEN 1,2,3,4",2021,Out,48,1.783634560,0.078,24433,36,48,90.44,51266,827,46366
3,Colombia,"DEN 1,2,3",2021,Out,7,1.956787607,0.000,799,0,7,9.57,51266,96,4906
3,Colombia,"DEN 1,2,3",2021,Out,10,1.766248103,0.041,1441,3,10,14.14,51266,128,7247
3,Colombia,"DEN 1,2,3",2021,Out,14,1.484590970,0.061,2187,6,14,19.05,51266,145,9767
3,Colombia,"DEN 1,2,3",2021,Out,17,1.556760539,0.061,2549,7,17,22.30,51266,178,11434
3,Colombia,"DEN 1,2,3,4",2021,Out,33,1.672180179,0.109,10565,24,33,43.04,51266,369,22067
3,Colombia,"DEN 1,2,3,4",2021,Out,36,1.744918859,0.106,12346,27,36,49.52,51266,443,25388
3,Colombia,"DEN 1,2,3,4",2021,Out,52,1.796227547,0.081,29334,43,52,104.03,51266,958,53334
3,Colombia,"DEN 1,2,3",2021,Out,5,1.817080557,0.000,435,0,5,6.44,51266,60,3302
3,Colombia,"DEN 1,2,3",2021,Out,24,1.467889908,0.052,6320,8,24,29.77,51266,224,15260
3,Colombia,"DEN 1,2,3,4",2021,Out,34,1.685149887,0.117,11152,27,34,45.03,51266,389,23084
3,Colombia,"DEN 1,2,3,4",2021,Out,43,1.815019497,0.101,18668,36,43,69.53,51266,647,35647
3,Colombia,"DEN 1,2,3,4",2021,Out,50,1.803012930,0.075,26931,38,50,98.67,51266,912,50582
3,Colombia,"DEN 1,2,3,4",2020,Out,5,1.115445569,0.000,3385,0,5,33.17,49465,183,16406
3,Colombia,"DEN 1,2,3,4",2020,Out,10,1.109697275,0.047,8659,16,10,68.32,49465,375,33793
3,Colombia,"DEN 1,2,3,4",2020,Out,12,1.084230526,0.041,10147,16,12,79.80,49465,428,39475
3,Colombia,"DEN 1,2,3,4",2020,Out,17,1.094655505,0.037,13088,18,17,97.33,49465,527,48143
3,Colombia,"DEN 1,2,3,4",2020,Out,24,1.068379739,0.057,16432,33,24,117.70,49465,622,58219
3,Colombia,"DEN 1,2,3,4",2020,Out,29,1.086629866,0.052,17401,33,29,127.81,49465,687,63223
3,Colombia,"DEN 1,2,3,4",2020,Out,31,1.089804852,0.051,17401,33,31,131.15,49465,707,64874
3,Colombia,"DEN 1,2,3,4",2020,Out,36,1.089027643,0.060,17401,41,36,137.93,49465,743,68226
3,Colombia,"DEN 1,2,3,4",2020,Out,43,1.075904144,0.059,17401,43,43,147.13,49465,783,72776
