ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Brazil,"DEN 1,2,3,4",2017,Out,26,0.129421692,0.053,32051,102,26,92.30,209288,250,193167
4,Brazil,"DEN 1,2,3,4",2017,Out,28,0.131037911,0.053,33374,106,28,95.17,209288,261,199179
4,Brazil,"DEN 1,2,3,4",2017,Out,31,0.134069745,0.053,34700,109,31,98.36,209288,276,205863
4,Brazil,"DEN 1,2,3,4",2017,Out,33,0.137261163,0.055,35478,116,33,100.25,209288,288,209819
4,Brazil,"DEN 1,2,3,4",2017,Out,35,0.139477195,0.056,36226,119,35,102.09,209288,298,213655
4,Brazil,"DEN 1,2,3,4",2017,Out,36,0.140438988,0.055,36494,119,36,102.75,209288,302,215040
4,Brazil,"DEN 1,2,3,4",2017,Out,38,0.141361831,0.054,37248,119,38,104.44,209288,309,218588
4,Brazil,"DEN 1,2,3,4",2017,Out,40,0.141329397,0.054,38027,119,40,106.16,209288,314,222176
4,Brazil,"DEN 1,2,3,4",2017,Out,42,0.145544309,0.054,38786,123,42,108.01,209288,329,226048
4,Brazil,"DEN 1,2,3,4",2017,Out,43,0.145995002,0.055,39180,125,43,108.98,209288,333,228090
4,Brazil,"DEN 1,2,3,4",2017,Out,45,0.146965655,0.054,39906,126,45,110.86,209288,341,232027
4,Brazil,"DEN 1,2,3,4",2017,Out,47,0.146940844,0.054,40698,128,47,113.16,209288,348,236830
4,Brazil,"DEN 1,2,3,4",2017,Out,50,0.148064986,0.054,41697,132,50,117.46,209288,364,245838
4,Brazil,"DEN 1,2,3,4",2017,Out,52,0.149967864,0.053,42101,133,52,120.43,209288,378,252054
4,Brazil,"DEN 1,2,3,4",2014,Out,16,0.117443656,0.070,108801,181,16,128.54,202034,305,259699
4,Brazil,"DEN 1,2,3,4",2014,Out,19,0.116258744,0.068,150635,244,19,178.39,202034,419,360403
4,Brazil,"DEN 1,2,3,4",2014,Out,21,0.116259838,0.069,171965,284,21,203.50,202034,478,411148
4,Brazil,"DEN 1,2,3,4",2014,Out,23,0.116078961,0.069,185435,305,23,220.02,202034,516,444525
4,Brazil,"DEN 1,2,3,4",2014,Out,24,0.117371922,0.070,189642,320,24,225.61,202034,535,455816
4,Brazil,"DEN 1,2,3,4",2014,Out,26,0.118181568,0.071,196397,337,26,234.12,202034,559,473001
4,Brazil,"DEN 1,2,3,4",2014,Out,28,0.121070112,0.073,201525,356,28,240.39,202034,588,485669
4,Brazil,"DEN 1,2,3,4",2014,Out,31,0.122490398,0.074,206341,371,31,247.30,202034,612,499631
4,Brazil,"DEN 1,2,3,4",2014,Out,33,0.123237458,0.074,208420,376,33,251.02,202034,625,507151
